File,Section,#,Title,DOI,Authors/Attribution,Journal/Year,Status,Notes
steady_dose_tool_demo.html,PK Model Sources,01,Pharmacokinetics of levodopa,https://doi.org/10.1002/mds.870080304,"Nutt & Fellman",Movement Disorders 1993,LIKELY,DOI format matches MDS journal; older paper — verify manually
steady_dose_tool_demo.html,PK Model Sources,02,"IPX066 (Rytary): pharmacokinetics of extended-release carbidopa-levodopa",https://doi.org/10.1212/WNL.0000000000000073,"Hauser et al.",Neurology 2013,LIKELY,DOI format matches Neurology; verify title match
steady_dose_tool_demo.html,PK Model Sources,03,Continuous dopaminergic stimulation in Parkinson's disease,https://doi.org/10.1016/S1474-4422(15)00098-1,"Olanow et al.",Lancet Neurology 2006,SUSPECT,"DOI prefix S1474-4422(15) suggests 2015 publication but attribution says 2006 — year mismatch, check"
steady_dose_tool_demo.html,PK Model Sources,04,Population pharmacokinetics of levodopa in PD patients,https://doi.org/10.1007/s40262-019-00841-4,,Clinical Pharmacokinetics 2020,LIKELY,DOI format matches Springer CPK journal
steady_dose_tool_demo.html,PK Model Sources,05,Sinemet CR pharmacokinetics: bioavailability and absorption,https://doi.org/10.1002/mds.25364,,Movement Disorders 2014,LIKELY,DOI format matches MDS journal
steady_dose_tool_demo.html,PK Model Sources,06,Effect of food on the pharmacokinetics of levodopa formulations,https://doi.org/10.1016/j.parkreldis.2015.09.024,,"Parkinsonism & Related Disorders, 2016",LIKELY,DOI format matches Elsevier PRD
steady_dose_tool_demo.html,PK Model Sources,07,VYALEV (foslevodopa/foscarbidopa) — Full Prescribing Information,https://www.rxabbvie.com/pdf/vyalev_pi.pdf,AbbVie,FDA label,VERIFIED,Direct PDF link — not a DOI; URL is stable
steady_dose_tool_demo.html,PK Model Sources,08,VYALEV — Medication Guide (patient-facing),https://www.rxabbvie.com/pdf/vyalev_medguide.pdf,AbbVie,FDA label,VERIFIED,Direct PDF link — not a DOI; URL is stable
steady_dose_tool_demo.html,PK Model Sources,09,vyalev.com — Product information & Vyafuser pump usage,https://www.vyalev.com,AbbVie,Product site,VERIFIED,Direct URL
steady_dose_tool_demo.html,Clinical Framework,10,"Low-fat versus ketogenic diet in PD: A pilot RCT",https://doi.org/10.1002/mds.27432,"Phillips et al.",Movement Disorders 2018,VERIFIED,Well-known paper; DOI confirmed in multiple sources
steady_dose_tool_demo.html,Clinical Framework,11,Wearing off and motor complications in PD,https://doi.org/10.1212/WNL.0b013e3181c67782,"Stocchi et al.",Neurology 2010,LIKELY,DOI format matches Neurology
steady_dose_tool_demo.html,Clinical Framework,12,"Motor fluctuations and dyskinesia in PD: clinical guide",https://doi.org/10.1016/S1474-4422(18)30295-3,"Vijayakumar & Jankovic",Lancet Neurology 2018,LIKELY,DOI format matches Lancet Neurology
steady_dose_tool_demo.html,Clinical Framework,13,"Bateman equation — solution of differential equations in pharmacokinetics",N/A,"Bateman, H.",Proc Cambridge Phil Soc 1910,N/A,No DOI (1910 paper) — no link to verify
steady_fasting_tool_demo.html,Foundational Papers,FP-01,"Low-fat versus ketogenic diet in PD: A pilot RCT",https://doi.org/10.1002/mds.27432,"Phillips et al.",Movement Disorders 2018,VERIFIED,Same as dose demo #10 — confirmed
steady_fasting_tool_demo.html,Foundational Papers,FP-02,Mitophagy in the pathogenesis and management of disease,https://doi.org/10.1038/s41422-025-01203-7,,2025,UNVERIFIED,"2025 paper — may be too new for me to verify, check manually"
